Numbers,Countries,Confirmed_2020,Confirmed_2021,Confirmed_2022
0,Afghanistan,8501751,39518380,3649092
1,Albania,3727544,51106141,5194914
2,Algeria,10583375,57172988,5171688
3,Andorra,682822,5084330,651513
4,Angola,1343410,14797145,2088633
5,Antigua and Barbuda,22902,689438,117411
6,Argentina,148336421,1440211060,153890834
7,Armenia,14553077,86241517,7982316
8,Australia,5091224,28433623,31330429
9,Austria,22148414,251183101,32179698
10,Azerbaijan,12949032,137425851,14343579
11,Bahamas,773606,5349746,667883
12,Bahrain,12929706,79666732,6934541
13,Bangladesh,68809478,387483890,37119356
14,Barbados,45229,2925705,770849
15,Belarus,20430958,158661092,16370905
16,Belgium,53832033,413103530,54413820
17,Belize,574897,6261671,897540
18,Benin,462136,4621800,592778
19,Bhutan,53440,674163,67793
20,Bolivia,22628496,144683491,16237513
21,Bosnia and Herzegovina,8049638,73616221,7095103
22,Botswana,933952,36852379,5368050
23,Brazil,892348107,6208408213,526215928
24,Brunei,41227,1448283,362079
25,Bulgaria,11095857,158912082,18530598
26,Burkina Faso,486257,4887880,448956
27,Burma,6784826,103436007,12247966
28,Burundi,98813,3381532,793510
29,Cabo Verde,1221070,10461284,1170451
30,Cambodia,63394,20812497,2776407
31,Cameroon,4231941,26861187,2533865
32,Canada,48509455,491577103,60274181
33,Central African Republic,954949,2996575,295480
34,Chad,277903,1708527,149784
35,Chile,92447449,496405065,42760890
36,China,28461475,38306533,2694851
37,Colombia,155342636,1386140553,124813617
38,Comoros,97295,1394169,173296
39,Congo (Brazzaville),896698,4645968,513192
40,Congo (Kinshasa),2237535,15306360,1863367
41,Costa Rica,14509356,135938660,13868461
42,Cote d'Ivoire,3707614,17668745,1778676
43,Croatia,9921974,136540739,18136690
44,Cuba,1201037,150524716,22741576
45,Cyprus,987129,31056285,4851504
46,Czechia,40948971,588519244,59223064
47,Denmark,9312761,116789107,24707224
48,Diamond Princess,227844,259880,16376
49,Djibouti,1201333,3876705,333662
50,Dominica,9215,626797,175178
51,Dominican Republic,21166725,113645275,10959502
52,Ecuador,28245590,153962065,13512463
53,Egypt,21009479,96168737,9122204
54,El Salvador,5411943,30667134,2836460
55,Equatorial Guinea,939924,3362406,340274
56,Eritrea,86376,1860123,198656
57,Estonia,1357875,48325161,5998254
58,Eswatini,931723,10791149,1550782
59,Ethiopia,12832683,98832178,10309479
60,Fiji,7650,8093597,1333161
61,Finland,3222027,40085121,7670184
62,France,208965946,2143786775,302872884
63,Gabon,1710711,9035646,1019464
64,Gambia,505978,2640777,252958
65,Georgia,9272618,169867566,22547269
66,Germany,117271277,1383711531,180578335
67,Ghana,8669957,37441079,3478613
68,Greece,7976094,178169336,35836214
69,Grenada,8306,667105,200341
70,Guatemala,16509082,131573540,14852563
71,Guinea,2144527,8821012,796551
72,Guinea/Bissau,486983,1655360,157721
73,Guyana,548708,7735365,1097102
74,Haiti,1695991,6487530,621671
75,Holy See,4429,9855,633
76,Honduras,14412084,98465666,8801566
77,Hungary,15561117,276202001,30304882
78,Iceland,807858,3491173,961857
79,India,1084280238,9215075561,842173608
80,Indonesia,60573725,987820633,98211905
81,Iran,117905811,1338958417,142972366
82,Iraq,64618779,512717853,48559771
83,Ireland,10464787,119447207,23270401
84,Israel,41522946,353426300,39044598
85,Italy,151300759,1490063177,183915468
86,Jamaica,1150061,20198276,2452029
87,Japan,18466972,366702687,42603505
88,Jordan,14090920,257029091,25150775
89,Kazakhstan,25709515,222471797,25865768
90,Kenya,8885496,68330475,7182794
91,Kiribati,0,453,46
92,"Korea, South",6015621,80313690,15703783
93,Kosovo,3909040,42024107,3819163
94,Kuwait,20839943,117835236,10366740
95,Kyrgyzstan,9377529,48817368,4332184
96,Laos,6474,6702447,2786875
97,Latvia,1518562,52364185,6846871
98,Lebanon,11059469,192665985,18280412
99,Lesotho,270814,5112988,715653
100,Liberia,275211,1428004,159131
101,Libya,7608144,86829912,9102392
102,Liechtenstein,108784,1215937,159760
103,Lithuania,4853099,107550201,12793837
104,Luxembourg,3428856,25851545,2753545
105,Madagascar,2725611,13233986,1243441
106,Malawi,982579,16125566,1855275
107,Malaysia,6306160,435828997,64302953
108,Maldives,1778957,21538660,2352993
109,Mali,740043,4925884,604033
110,Malta,920059,11450331,1404996
111,Marshall Islands,208,1460,146
112,Mauritania,1505453,9459449,1168522
113,Mauritius,105677,2680737,560567
114,Mexico,149022213,1028236358,97730619
115,Micronesia,0,345,23
116,Moldova,12284235,95236956,8902113
117,Monaco,68458,997786,142854
118,Mongolia,92497,56759396,9280329
119,Montenegro,3030375,39162192,4479179
120,Morocco,31729462,244881694,23545863
121,Mozambique,1631439,36647739,4863005
122,MS Zaandam,2483,3285,207
123,Namibia,1811888,31331287,3515257
124,Nepal,21241730,207257019,19575487
125,Netherlands,51356749,642858595,81108284
126,New Zealand,471402,1597636,342743
127,Nicaragua,947573,3744403,403708
128,Niger,331343,2033696,186244
129,Nigeria,11232111,64293818,5719901
130,North Macedonia,5821127,57508907,5495919
131,Norway,4429378,54520489,11180843
132,Oman,19053969,86695930,7150323
133,Pakistan,66731120,347955430,30395125
134,Palau,0,831,2153
135,Panama,22771266,147752358,12711167
136,Papua New Guinea,84526,5856848,836329
137,Paraguay,8190491,126733354,11145697
138,Peru,144630823,681004285,57823216
139,Philippines,53531833,579135834,70962394
140,Poland,69782612,977813850,98228200
141,Portugal,28529260,337364231,40453012
142,Qatar,26516402,76672453,6536395
143,Romania,41825855,420013098,43305314
144,Russia,294103774,2219583865,242875594
145,Rwanda,835765,20135870,2807880
146,Saint Kitts and Nevis,4941,345130,100099
147,Saint Lucia,19289,2496126,370604
148,Saint Vincent and the Grenadines,14216,979388,146767
149,Samoa,79,1050,119
150,San Marino,247490,1805054,227086
151,Sao Tome and Principe,194089,935257,115168
152,Saudi Arabia,64831531,172538695,13754428
153,Senegal,2803637,19184452,1847636
154,Serbia,15905285,281481016,32171685
155,Seychelles,27829,4873905,681593
156,Sierra Leone,447581,1877846,171125
157,Singapore,12498642,37475763,6678457
158,Slovakia,10074031,283780748,32400228
159,Slovenia,5616737,97489622,11863250
160,Solomon Islands,1072,7082,1240
161,Somalia,814629,5471923,555331
162,South Africa,122796146,795488057,81278670
163,South Sudan,562181,3744746,372462
164,Spain,186518146,1480287973,177793613
165,Sri Lanka,2134079,106461940,13661873
166,Sudan,2985607,13111843,1145192
167,Summer Olympics 2020,0,124143,19895
168,Suriname,756366,9143956,1405269
169,Sweden,29902941,359861832,34943681
170,Switzerland,28992018,269227850,36890797
171,Syria,840959,10115985,1164017
172,Taiwan*,145202,3569553,404494
173,Tajikistan,1998970,5577415,402339
174,Tanzania,129240,2804832,708747
175,Thailand,969703,279343873,52744946
176,Timor/Leste,7030,3539149,456697
177,Togo,381729,5912846,791190
178,Tonga,0,64,23
179,Trinidad and Tobago,696084,12331775,2272390
180,Tunisia,7649583,171262402,17676906
181,Turkey,110780847,2014321615,234553797
182,Uganda,1970459,29401986,3548664
183,Ukraine,66908500,838523713,90074579
184,United Arab Emirates,22253522,213007666,18267849
185,United Kingdom,173659794,2245411473,340187784
186,Uruguay,762054,98926667,11122906
187,US,1725975571,13263556460,1451639072
188,Uzbekistan,9683839,46375071,4682909
189,Vanuatu,52,1368,161
190,Venezuela,12300226,99533919,10406227
191,Vietnam,219337,135539309,44824948
192,West Bank and Gaza,8753200,115974691,10906509
193,Yemen,382306,2403947,236417
194,Zambia,2433883,52593029,6565922
195,Zimbabwe,1336283,30065437,5131168
